product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Киви,6772,121,Фрукты,Широко используется в традиционной и современной кухне.,2022-02-05,2025-03-01,2.38,Temporarily Unavailable
2,Варенье,1022,675,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2004-02-21,2022-04-04,2.77,Out of Stock
3,Каша из манной крупы,6794,990,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2004-07-03,2008-05-03,3.75,Awaiting Review
4,Черешня,9501,942,Фрукты,Отличается удобством использования и экономичностью в расходе.,2014-01-07,2015-01-01,3.41,Backorder
5,Бамия,9384,183,Овощи,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1997-01-09,2001-01-02,3.71,Refunded
6,Эмменталь,7418,260,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",1992-02-02,1993-01-06,3.65,New
7,Конфи,7919,480,Мясо,Помогает поддерживать нормальный уровень энергии и выносливости.,1990-02-21,2005-06-02,1.24,Delivered
8,Лук-порей,9566,4,Овощи,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2022-02-05,2030-07-14,3.85,Pending
9,Пакеты для лекарств,4884,915,Товары для дома,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2012-05-05,2021-01-05,0.1,Temporarily Unavailable
10,Электрочайник,5704,765,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2006-05-08,2014-05-04,0.41,New
11,Лимон,7580,164,Фрукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2022-07-09,2026-03-01,4.02,Pending
12,Каша из ячменя,1139,487,Бакалея,Помогает сохранять бодрость и активность в течение дня.,2016-07-04,2019-04-14,0.52,Awaiting Payment
13,Роллы с мясом,5542,434,Мясо,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1996-03-04,2009-03-17,1.68,In Stock
14,Perrier,1897,774,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1997-02-02,2018-01-03,2.47,Sold
