Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Пепперони,4999,739,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2001-03-06,2004-05-02,2.28:,Returned
2,Пироги с мясом,578,875,Мясо,"Отличается длительным сроком годности, что позволяет делать запасы.",1997-07-08,2020-05-07,1.03:,Returned
3,Портулак,7731,949,Овощи,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2014-05-10,2021-04-28,3.91:,Out of Stock
4,Кровяная колбаса,7044,553,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2006-07-11,2018-01-12,3.33:,Refunded
5,Конина,6643,196,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2010-06-01,2013-01-21,1.52:,Temporarily Unavailable
6,Каша из пшена,2341,983,Бакалея,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1995-06-11,2022-02-26,3.23:,Temporarily Unavailable
7,Кефир,9598,764,Молочные продукты,Подходит для использования в рецептах традиционной кухни разных стран.,2009-03-05,2013-02-18,0.18:,Sold
8,Vittel,4016,308,Напитки,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1996-02-13,2000-10-17,1.72:,Backorder
9,Масло сливочное,3051,424,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-04-19,2024-02-14,2.04:,On Backorder
10,Каймак,879,803,Молочные продукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2003-06-10,2029-01-07,4.5:,Sold
11,Паштет,5071,141,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2021-04-09,2028-06-03,3.91:,On Backorder
12,Буженина,2034,114,Мясо,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1998-04-12,2008-05-06,3.61:,Awaiting Review
13,Манго,522,918,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2009-02-03,2024-01-03,2.53:,Pending
14,Банан,2960,629,Фрукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1996-02-10,2030-03-17,1.93:,Returned
15,Пакеты для Всемирного дня поэзии,6270,633,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2013-05-13,2019-05-01,4.13:,Cancelled
16,Пищевая пленка,6264,381,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1997-05-13,2017-04-03,1.01:,Sold
17,Самса,2472,318,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",2009-04-02,2015-06-16,0.38:,Awaiting Review
18,Пастрома,6523,518,Мясо,Прошел строгий контроль качества на всех этапах производства.,2006-03-18,2019-01-18,4.47:,On Backorder
19,Фенхель,2969,467,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2004-01-10,2020-01-10,2.17:,Refunded
20,Йогурт,9092,954,Молочные продукты,Подходит для использования в специализированных диетах и лечебных программах.,1998-06-01,2016-06-03,3.75:,Sold
21,Тако с мясом,6476,903,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-03-04,2005-03-08,4.52:,Temporarily Unavailable
22,Каша из овса,1500,188,Бакалея,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2022-02-03,2026-02-03,4.29:,Out of Stock
23,Салфетки влажные,3438,275,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2003-01-12,2028-09-18,0.61:,New
24,Пакеты для детских вещей,1771,954,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2001-05-02,2002-02-06,3.75:,On Backorder
25,Гусиные потроха,292,21,Мясо,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1990-05-01,1992-01-07,2.7:,New
26,Черника,6094,650,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2015-02-19,2022-01-19,0.91:,Delivered
27,Козлятина,5119,339,Мясо,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2006-01-04,2023-07-10,4.13:,Pending
28,Свинина,7433,93,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2000-03-01,2024-06-12,4.1:,Refunded
29,Фарш говяжий,4873,884,Мясо,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1998-01-18,2022-01-01,0.2:,Sold
30,Швабра,7899,199,Товары для дома,Является важным элементом спортивного питания для восстановления после тренировок.,2016-03-06,2019-06-02,2.62:,Awaiting Review
31,Карамбола,6547,898,Фрукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2022-01-06,2028-06-11,4.36:,On Backorder
32,Шелковица,7004,766,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,1996-03-02,2022-02-02,4.27:,Awaiting Payment
33,Грейпфрут,2105,932,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2002-04-10,2014-02-07,4.76:,Temporarily Unavailable
34,Перец болгарский,4650,495,Овощи,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1999-01-05,2009-01-08,2.86:,Cancelled
35,Пледы,280,169,Товары для дома,Используется в косметологии для ухода за кожей и волосами.,2011-04-03,2020-05-10,3.99:,Awaiting Review
36,Волгодонская,6597,649,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1993-05-17,2015-04-02,2.2:,Refunded
37,Ялтинская,2486,526,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2012-04-01,2026-09-22,0.13:,Refunded
38,Тарелки мелкие,3640,105,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1995-04-02,1999-07-02,4.63:,Sold
39,Кабачок,4993,702,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,2008-02-01,2028-09-07,0.31:,Backorder
40,Редис,8077,730,Овощи,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2007-02-13,2026-02-12,2.17:,Awaiting Review
41,Миксер,7086,646,Товары для дома,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-03-05,2027-02-18,4.04:,Backorder
42,Кокос,8319,697,Фрукты,Широко используется в традиционной и современной кухне.,2001-03-18,2003-05-11,0.03:,Shipping
43,Грейпфрут,3503,669,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2021-04-05,2027-03-07,4.51:,Temporarily Unavailable
44,Пшено,8174,597,Бакалея,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2022-04-11,2023-04-01,4.46:,Available for Pickup
45,Бамия,6228,945,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1992-03-05,2012-02-09,1.57:,Pending
46,Баклажан,9672,674,Овощи,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2013-01-04,2023-02-11,1.4:,Temporarily Unavailable
47,Масала чай,8161,153,Напитки,Способствует нормализации обмена веществ в организме.,2001-08-01,2025-04-06,0.97:,Awaiting Payment
48,Новошахтинская,9126,732,Напитки,Способствует снижению уровня стресса и улучшению настроения.,1991-06-02,2025-03-03,1.25:,Awaiting Review
49,Томаты в собственном соку,7708,70,Бакалея,Служит основой для создания множества кулинарных шедевров.,1996-01-07,2029-04-02,4.64:,Returned
50,Шубат,9877,510,Молочные продукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1997-07-02,2029-01-23,0.89:,Awaiting Payment
51,Крахмал картофельный,8246,676,Бакалея,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1996-04-10,2017-02-01,0.44:,Returned
