acousticness,tempo,artist,genre,year,duration_ms,song
0.371,95.799,Lady Gaga,pop,2018,215733,Shallow
0.0158,127.974,Jennifer Lopez,"hip hop, pop, R&B",2012,237266,Dance Again
0.0011,137.965,DJ Sammy,pop,2002,233600,Heaven
0.332,96.009,Daddy Yankee,latin,2004,192600,Gasolina
0.000109,105.991,The Rasmus,metal,2003,257920,In the Shadows
0.0462,126.04,Avicii,"pop, Dance/Electronic",2011,199906,Levels - Radio Edit
0.197,127.934,Calvin Harris,"hip hop, pop, Dance/Electronic",2012,212560,Sweet Nothing (feat. Florence Welch)
0.0969,100.041,Charlie Puth,pop,2017,211475,Attention
0.00129,100.094,Peking Duk,Dance/Electronic,2014,228000,High (feat. Nicole Millar)
0.00218,166.996,The Script,"pop, rock",2014,245466,Superheroes
0.219,138.058,Ed Sheeran,pop,2019,189733,Take Me Back to London (feat. Stormzy)
0.174,95.001,Daddy Yankee,latin,2018,200480,Dura
0.16,89.885,Black Eyed Peas,"hip hop, pop",2005,219000,Don't Lie
0.141,124.071,Katy Perry,pop,2010,227893,Firework
0.0182,105.013,M83,"rock, pop, metal, Dance/Electronic",2011,243960,Midnight City
0.0129,82.952,Hoobastank,"pop, rock, metal",2003,232800,The Reason
0.0571,117.985,Dizzee Rascal,"hip hop, pop, Dance/Electronic",2011,220626,Holiday
0.41,124.989,Calvin Harris,"hip hop, pop, Dance/Electronic",2012,234506,I Need Your Love (feat. Ellie Goulding)
0.0736,128.045,Sebastian Ingrosso,"pop, Dance/Electronic",2013,221272,Reload - Radio Edit
0.3,95.053,Britney Spears,pop,2000,211160,Oops!...I Did It Again
0.183,78.955,Blue,pop,2004,210066,Sorry Seems To Be The Hardest Word
0.409,77.984,Brian McFadden,set(),2004,229826,Almost Here
0.0246,100.969,Chris Brown,"hip hop, pop, R&B",2005,229866,Run It! (feat. Juelz Santana)
0.839,144.069,Rihanna,"hip hop, pop, R&B",2006,226973,Unfaithful
0.107,128.008,Ylvis,hip hop,2013,213708,The Fox (What Does the Fox Say?)
0.107,99.931,Christina Aguilera,pop,2002,298853,Dirrty (feat. Redman)
0.132,151.957,Ed Sheeran,pop,2019,161746,Antisocial (with Travis Scott)
0.00277,120.939,Kylie Minogue,"pop, Dance/Electronic",2004,200973,I Believe in You
0.192,133.053,Drake,"hip hop, pop, R&B",2016,212946,Pop Style
0.000915,143.866,Ricky Martin,"pop, latin",2000,280626,She Bangs - English Version
0.00225,126.092,Florence + The Machine,"rock, pop, Dance/Electronic",2011,218190,Spectrum (Say My Name) - Calvin Harris Remix
